[2025-02-15 13:31:01,382] INFO: main: Welcome to our custom logging datascience project:]
[2025-02-15 14:56:51,473] INFO: main: Welcome to our custom logging datascience project:]
[2025-02-15 23:04:35,898] INFO: main: >>>>> stage Data Ingestion Stage started <<<<<<<:]
[2025-02-15 23:04:35,898] ERROR: main: Error occurred during stage Data Ingestion Stage: [Errno 2] No such file or directory: '\\config\\config.yaml':]
[2025-02-15 23:06:05,465] INFO: main: >>>>> stage Data Ingestion Stage started <<<<<<<:]
[2025-02-15 23:06:05,465] ERROR: main: Error occurred during stage Data Ingestion Stage: [Errno 2] No such file or directory: 'config\\config.yaml':]
[2025-02-15 23:06:29,905] INFO: main: >>>>> stage Data Ingestion Stage started <<<<<<<:]
[2025-02-15 23:06:29,906] ERROR: main: Error occurred during stage Data Ingestion Stage: [Errno 2] No such file or directory: 'config\\config.yaml':]
[2025-02-15 23:08:04,298] INFO: main: >>>>> stage Data Ingestion Stage started <<<<<<<:]
[2025-02-15 23:08:04,298] ERROR: main: Error occurred during stage Data Ingestion Stage: [Errno 2] No such file or directory: 'config\\config.yaml':]
[2025-02-15 23:10:00,107] INFO: main: >>>>> stage Data Ingestion Stage started <<<<<<<:]
[2025-02-15 23:10:00,108] ERROR: main: Error occurred during stage Data Ingestion Stage: [Errno 2] No such file or directory: 'config\\config.yaml':]
[2025-02-15 23:10:31,693] INFO: main: >>>>> stage Data Ingestion Stage started <<<<<<<:]
[2025-02-15 23:10:31,694] ERROR: main: Error occurred during stage Data Ingestion Stage: [Errno 2] No such file or directory: 'config\\config.yaml':]
